项目编码,项目名称,商务开累产值不含税,商务开累产值含税,商务本年产值不含税,商务本年产值含税,商务开累成本,商务本年成本
U_ORG_XM_SYJLSY,沈阳嘉里A2地块商业,311659303.181567,311659303.2187786,573613.3656634211,573613.3657296823,304848589.9200001,561293.840000003
U_ORG_XM_SYJLZX,沈阳嘉里中心T1及T4楼,20645583.80730477,22009575.93572554,429554.2022858228,457933.5669052249,19537475.33,406498.77999999747
U_ORG_XM_SYJLZXBDK,沈阳嘉里中心B地块3a1、3a2期,253478330.28127575,276291379.9917983,147354645.38858628,160616563.4649598,247291474.21100003,143758038.20999998
U_ORG_XM_SYJLZXT,沈阳嘉里中心A2地块T2办公楼总承包工程,187189664.7970689,198470563.1901159,11373208.912435846,11722181.421471713,182665952.24,11091698.700000001
U_ORG_XM_SYJYJD,三亚海棠湾君悦酒店,628961379.329429,631484179.09248,104649.85013332244,105069.60661725972,579801710.7600001,96470.41000000387
U_ORG_XM_SYLCQYCSQ,沈阳绿城全运村四期,232388285.04851335,252220132.85821667,2004590.6922302763,2173801.1628064793,227492387.415878,1964862.5964999988
U_ORG_XM_SYSKRY,沈阳首开如院,166081729.76900652,181029085.44977808,58803311.97566054,64095610.05391878,157007380.067129,56010178.02776698
U_ORG_XM_SYSNYG,沈阳苏宁电子商务运营中心(一期),110671372.32183129,120631795.83084537,71452985.04129876,77883753.69478106,109977333.29155341,70987817.90155339
U_ORG_XM_SYTK,沈阳泰康之家沈园,223789751.08613467,246168726.19769892,16278626.214707598,17906488.836393,214756692.69000003,15621555.1
U_ORG_XM_SYXCD13JQ,北京顺义新城第13街区居住区,50117086.45230108,54627624.23331637,49554310.65595115,54014198.61528779,49783323.11016182,49225049.520161815
U_ORG_XM_SYZHHPZM,沈阳中海和平之门5.1期,61082870.76859743,67191157.847854,1405523.2454000069,1546075.5700332848,61012524.055099994,1403927.6999999993
U_ORG_XM_SYZJCLY,沈阳中集车辆园,136621.33605759623,136621.33605759623,0,0,127286.19,0
U_ORG_XM_SZDSDS,深圳达实大厦改扩建,208913097.90052834,230577360.57456586,18603788.001944575,20532974.40793894,205811115.37999997,18331518.65
U_ORG_XM_SZDXXLXQ,深圳大学西丽校区,422126145.3108907,434145116.08635163,70419505.33935145,72264270.85537408,419836393.20000005,70075116.7
U_ORG_XM_SZGJYSBLJYZB,深圳至正大厦,55846684.30398244,60872885.888095185,37819106.03238812,41222825.573105104,54147097.724272005,36668154.17427201
U_ORG_XM_SZGMQJRJ,深圳光明区金融街,319364194.6385872,348106972.15303695,71061692.54119761,77457244.8678413,290333240.7047524,64637710.75887767
U_ORG_XM_SZHXDZQZ,深圳华星光电第11代大宗气体站,61582995.87598112,67659864.12907311,7925513.311129166,8242915.621927516,61156190.483689316,7903220.74
U_ORG_XM_SZJCBZZ,深圳机场调蓄池泵闸站,107669656.15856798,110836181.42321937,69870845.64289165,71926849.02268305,105935693.78213589,68748448.77213591
U_ORG_XM_SZJCKFQ,深圳机场开发区西区,310353521.29136366,338285338.2104768,28107822.372213382,30637526.38589628,302881149.5590056,27449492.299999997
U_ORG_XM_SZJLSWZX,深圳嘉里商务中心,530710914.15240616,583782005.5637245,278843824.52893215,306728206.9792515,501370285.4179244,270161238.94792455
U_ORG_XM_SZJLSWZXYQ,深圳嘉里商务中心（一期）,6693250.875986915,6894048.39918074,6693250.875986915,6894048.39918074,6677240.67,6677240.67
U_ORG_XM_SZJSDX,深圳技术大学建设项目（一期）,1266052779.553062,1304034362.9450088,11445152.393251833,11788506.964963116,1262045896.7358778,11390756.940000001
U_ORG_XM_SZLDBDT,深圳礼鼎高端集成电路载板及先进封装基地,118136756.79177074,128769064.90350354,118136756.79177074,128769064.90350354,117359769.09,117359769.09
U_ORG_XM_SZLHTJWQJD,苏州龙湖天街五期机电总包,35253644.65201126,39087559.77153896,3891238.376850336,4314277.429577917,34095385.3,3759650.0299999993
U_ORG_XM_SZLXCXY,深圳联想创新科技园综合机电,6894562.155105332,7515072.748804675,6894562.155105332,7515072.748804675,6814010.619999999,6814010.619999999
U_ORG_XM_SZNSZD,深圳南山中国电子科技园,33563239.56029234,36583931.120460324,33563239.56029234,36583931.120460324,32917614.49,32917614.49
U_ORG_XM_SZPACXDS,深圳平安财险大厦,108665285.469347,118872028.74987762,11206527.394480668,12259137.22923754,107250967.69735849,11060670.409999998
